#{"t_start": 1740659830.023298, "env_id": "None"}
r,l,t
-32421157.378068,840,135.550751
-31824050.236504,840,135.791017
-31907590.815733,840,136.032881
-32351860.999701,840,136.267883
-32356287.863711,840,136.50782
-32290255.915462,840,136.742036
-32305683.190194,840,136.978714
-32657028.864577,840,137.219004
-32355896.818997,840,137.464003
-32066591.066664,840,137.70628
-31955920.431553,840,137.942091
-31927009.762636,840,138.181785
-32309515.890147,840,138.418229
-32302568.65916,840,138.655121
-32115964.399956,840,138.894128
-32484241.850241,840,139.130923
-32643505.570696,840,139.36649
-32123782.468334,840,139.604572
-32381425.844687,840,139.84099
-32416370.851239,840,140.073884
-32265231.910733,840,140.311088
-31827827.504676,840,140.54693
-32040418.110332,840,140.790928
-32339544.876228,840,141.038923
-32436243.335439,840,141.290154
-32039587.001319,840,141.533242
-32401532.239088,840,141.771987
-32424595.155009,840,142.010429
-32050242.080645,840,142.268332
-32139728.19024,840,142.536333
-32415583.113533,840,142.793483
-32262507.598481,840,143.043602
-32501375.058722,840,143.283864
-32397879.648179,840,143.518506
-32134646.723819,840,143.758945
-32145480.68143,840,144.002944
-32232168.014395,840,144.243838
-32160385.602814,840,144.481999
-32709313.856984,840,144.728503
-32476759.495683,840,144.970307
-32516651.259973,840,145.211932
-31965972.620896,840,145.45103
-32478975.923392,840,145.688367
-32205703.083802,840,145.93565
-31925020.530486,840,146.18205
-32225093.049307,840,146.422943
-32534865.77986,840,146.660397
-32633803.667748,840,146.895975
-32651569.72617,840,147.137236
-32851722.388716,840,147.378434
-32557646.972204,840,147.634691
-32071115.552613,840,147.94446
-32371176.942835,840,148.201014
-32316524.634131,840,148.462013
-32106055.244686,840,148.720105
-32462399.936592,840,148.957097
-32718982.405429,840,149.219738
-32408978.898676,840,149.477983
-32323746.061247,840,149.732038
-32068684.021589,840,149.967891
-32275971.168761,840,150.206966
-32234280.541741,840,150.442633
-32221940.24154,840,150.682133
-32873391.636171,840,150.916442
-31894284.377421,840,151.150088
-32188187.964579,840,151.383925
-31908199.235117,840,151.619371
-32309250.0076,840,151.856674
-31752350.105606,840,152.092509
-32691109.77714,840,152.32806
-32584282.82894,840,152.563664
-32098783.911596,840,152.816142
-32148089.469688,840,153.053355
-32011141.903401,840,153.299445
-32215367.937697,840,153.539929
-32212735.572377,840,153.778618
-32646404.033749,840,154.013696
-32239580.430682,840,154.261819
-31957144.741615,840,154.511225
-32435199.560944,840,154.755397
-32366715.490285,840,154.994303
-32101871.07032,840,155.237375
-31818550.904629,840,155.474296
-31931666.409943,840,155.7119
-32291529.181807,840,155.946984
-32866078.836728,840,156.181216
-32067356.564076,840,156.415505
-32253748.907715,840,156.649354
-32594942.075036,840,156.883641
-32101095.73704,840,157.117401
-32656269.358179,840,157.35175
-32182727.126177,840,157.585371
-31944165.493617,840,157.819504
-31795694.653182,840,158.053406
-32012951.902359,840,158.290246
-32843481.753706,840,158.525014
-31996395.866748,840,158.758828
-32265544.064655,840,158.992525
-32548139.66488,840,159.228133
-32201927.742199,840,159.4626
-32061337.24414,840,159.697161
-31905969.15349,840,159.932191
-32750247.969069,840,160.170976
-31739114.548392,840,160.41153
-32748298.42977,840,160.648107
-32429059.329818,840,160.884889
-31854604.174688,840,161.120965
-32167876.259142,840,161.354965
-32126081.225651,840,161.588246
-32318723.797082,840,161.82251
-32641919.400502,840,162.05551
-32509171.67629,840,162.290515
-31683255.06475,840,162.52351
-32089876.014664,840,162.758083
-32359964.519478,840,162.991518
-32777621.1248,840,163.226574
-31971660.510373,840,163.459873
-32506814.551843,840,163.696584
-32094946.313843,840,163.931168
-31912041.529622,840,164.168097
-32334183.821634,840,164.403849
-32579877.145974,840,164.636701
-32015213.303703,840,164.874996
-31686294.708533,840,165.10984
-32462139.300354,840,165.344997
-32409198.229695,840,165.578444
-32400337.564371,840,165.812943
-32310913.058988,840,166.046542
-32833892.268953,840,166.27992
-32154848.943584,840,166.513986
-32398640.842791,840,166.747507
-32558829.512823,840,166.981234
-31833688.307217,840,167.22002
-32050424.59027,840,167.46236
-32362413.398387,840,167.707522
-33263729.015242,840,167.942328
-32006609.197372,840,168.176328
-31929109.21267,840,168.409724
-32303678.894811,840,168.643011
-32038058.095329,840,168.87698
-32510462.039278,840,169.109218
-32333730.47322,840,169.343068
-32328497.932802,840,169.576392
-32393997.366388,840,169.808913
-32298902.720127,840,170.043792
-31804842.769992,840,170.278875
-32279536.90591,840,170.51218
-31890621.297337,840,170.745068
-32185213.76858,840,170.979212
-31982220.79419,840,171.212783
-32444018.372055,840,171.446249
-32515092.611603,840,171.680213
-32437223.168939,840,171.914432
-32676937.411461,840,172.148031
-32613835.174419,840,172.38203
-32445468.85581,840,172.61498
-32928495.894321,840,172.849601
-32148106.291057,840,173.082901
-32086410.129579,840,173.316791
-33118760.947182,840,173.549878
-32321951.429825,840,173.787219
-31592042.275105,840,174.025404
-32813556.501657,840,174.260628
-32254917.265611,840,174.493958
-32102008.902183,840,174.731775
-31841323.999472,840,174.977924
-32589794.857462,840,175.214859
-32478611.950837,840,175.450087
-32381360.390334,840,175.683843
-32515655.934137,840,175.921401
-31872521.283729,840,176.161125
-32136592.004724,840,176.396044
-32130387.669779,840,176.630278
-32378930.222635,840,176.863828
-32482937.866907,840,177.107444
-32116331.677083,840,177.343282
-32361881.461761,840,177.578338
-32390545.669119,840,177.81177
-32513452.138258,840,178.047261
-31952518.688949,840,178.282319
-32566885.535411,840,178.516062
-32292160.477329,840,178.749412
-32627788.147987,840,178.983791
-32417956.044923,840,179.218639
-32609532.34355,840,179.453276
-32885183.185656,840,179.687957
-32564493.561571,840,179.921823
-32467920.095197,840,180.154971
-32642821.718382,840,180.389822
-31940093.253077,840,180.624562
-32128565.295303,840,180.859025
-32010319.44415,840,181.093023
-32058957.6747,840,181.328025
-32315128.056007,840,181.563023
-32760010.415572,840,181.798122
-32034506.321184,840,182.032674
-32395245.013664,840,182.267646
-32227856.89389,840,182.50199
-31717231.646143,840,182.735991
-32537501.535292,840,182.969991
