#{"t_start": 1740660108.039301, "env_id": "None"}
r,l,t
-3910.3775,15,9.245984
-106570.569517,15,9.265984
-1610.8125,15,9.285512
-5737.82,15,9.30392
-2122.2375,15,9.32192
-111979.011161,15,9.349234
-24825.602902,15,9.367453
-61760.837292,15,9.389454
-135008.243747,15,9.413455
-9841.006978,15,9.437453
-4074.60959,15,9.459453
-27009.249063,15,9.480581
-278380.731849,15,9.50175
-7537.32,15,9.520581
-93984.141123,15,9.537581
-1775.4,15,9.556583
-230953.455548,15,9.578583
-212194.688664,15,9.599582
-206000.984781,15,9.616582
-47861.800326,15,9.633583
-3657.385,15,9.650678
-17855.719726,15,9.673678
-1846.95,15,9.695679
-1982.85,15,9.713679
-2314.6125,15,9.73068
-280658.586155,15,9.748679
-145457.969202,15,9.764679
-11704.075004,15,9.786677
-274345.534048,15,9.804688
-49530.459755,15,9.822794
-1490.775,15,9.840794
-164741.636959,15,9.862808
-4916.5975,15,9.883798
-249917.155498,15,9.911796
-279726.785771,15,9.932803
-2346.4225,15,9.958796
-164443.308248,15,9.980039
-158141.796543,15,10.004387
-1975.0675,15,10.022523
-61208.360118,15,10.040521
-255024.759259,15,10.058779
-167563.35165,15,10.078777
-9353.395358,15,10.095902
-56126.557443,15,10.121092
-278914.577331,15,10.145723
-98168.999105,15,10.170855
-23493.324317,15,10.192413
-3078.5725,15,10.221704
-48080.456385,15,10.246857
-2890.2275,15,10.267038
-2210.55,15,10.283343
-287204.603812,15,10.306621
-177146.754194,15,10.330619
-26600.022404,15,10.349875
-181457.857108,15,10.374175
-279251.651944,15,10.402179
-286434.369546,15,10.420443
-19233.576927,15,10.443314
-213768.625364,15,10.467919
-214057.464098,15,10.501209
-206442.766798,15,10.525391
-2226.3,15,10.548498
-20052.138284,15,10.567495
-3812.4375,15,10.587605
-212510.185638,15,10.609859
-97767.060169,15,10.632859
-290412.945884,15,10.656061
-281504.672323,15,10.680057
-13969.209632,15,10.700052
-87398.367262,15,10.719138
-152440.841121,15,10.742967
-281046.575685,15,10.768966
-2901.2775,15,10.791086
-212895.218004,15,10.813968
-50270.059913,15,10.831967
-288302.976541,15,10.853095
-125368.773508,15,10.881529
-162456.550117,15,10.902791
-72227.215579,15,10.922019
-2251.8375,15,10.945276
-14750.74113,15,10.970722
-291741.991313,15,10.990994
-170206.069201,15,11.011261
-2718.2125,15,11.034686
-64208.284262,15,11.058983
-203531.977169,15,11.084395
-295418.827076,15,11.105645
-302466.662168,15,11.129644
-163337.115703,15,11.154212
-279713.432804,15,11.176564
-177604.769894,15,11.199927
-300587.440066,15,11.221394
-61106.80332,15,11.242685
-293888.137586,15,11.263949
-298374.886979,15,11.28116
-93164.085258,15,11.303327
-12687.566322,15,11.321449
-3981.4975,15,11.339453
-295301.190757,15,11.35557
-281869.374003,15,11.374811
-54166.374968,15,11.394958
-293586.71522,15,11.422462
-283789.501884,15,11.443456
-294428.279136,15,11.468456
-287527.51528,15,11.494456
-298948.006016,15,11.518573
-273711.883429,15,11.537817
-290582.627952,15,11.556818
-280910.60811,15,11.576819
-293166.782508,15,11.594819
-94984.879468,15,11.615819
-290087.234017,15,11.635936
-294071.021573,15,11.657056
-290702.345733,15,11.67916
-296158.331049,15,11.70032
-212779.753741,15,11.728621
-288303.212308,15,11.752023
-289064.99137,15,11.773025
-294123.293176,15,11.793027
-288283.933331,15,11.813605
-273747.22811,15,11.849319
-283617.829417,15,11.881625
-291575.866704,15,11.900856
-292363.990741,15,11.923177
-295161.761874,15,11.947481
-294243.184806,15,11.971909
-292854.655965,15,11.990038
-291329.830441,15,12.00926
-290128.765441,15,12.03367
-288920.323036,15,12.061066
-285908.769481,15,12.080281
-281763.53334,15,12.100282
-279711.006281,15,12.118291
-283466.85948,15,12.136294
-289136.999266,15,12.15553
-287003.848797,15,12.17576
-284989.183719,15,12.19476
-292069.352849,15,12.213985
-295384.18958,15,12.232985
-292033.98497,15,12.253242
-290456.424719,15,12.279464
-268679.544832,15,12.300577
-281940.877112,15,12.318576
-282873.36009,15,12.341787
-280636.265942,15,12.369958
-290505.618802,15,12.39396
-287839.491004,15,12.411229
-294555.710009,15,12.431384
-285412.866506,15,12.452379
-273954.792945,15,12.480378
-289970.728094,15,12.50368
-293899.813911,15,12.527677
-245201.923481,15,12.54968
-282568.964392,15,12.573679
-282946.189584,15,12.595735
-166796.212142,15,12.619034
-298069.59361,15,12.641182
-280802.917628,15,12.661238
-301582.491666,15,12.680707
-292006.654674,15,12.704859
-284784.73814,15,12.726974
-292690.802911,15,12.746115
-282397.437355,15,12.766439
-293406.374414,15,12.787832
-279922.237564,15,12.811096
-280977.850484,15,12.833607
-247103.055747,15,12.85375
-282614.320981,15,12.87597
-291064.795244,15,12.89797
-301321.340115,15,12.920282
-290171.335948,15,12.942411
-297293.181002,15,12.96157
-285363.557812,15,12.982909
-283130.06292,15,13.006023
-284552.83273,15,13.029159
-299926.98217,15,13.050291
-284822.67503,15,13.072544
-285235.265949,15,13.095825
-292660.634022,15,13.116079
-290163.236973,15,13.14422
-288700.158516,15,13.164457
-292011.039346,15,13.18459
-286709.328638,15,13.202709
-272278.459165,15,13.226862
-291440.66147,15,13.249976
-291528.294417,15,13.275128
-298893.704455,15,13.298292
-53951.805936,15,13.32152
-281123.018636,15,13.348668
-295729.193238,15,13.371806
-183012.341124,15,13.390806
-300342.36301,15,13.411951
-287173.994345,15,13.430953
-296592.891302,15,13.453953
-282960.599833,15,13.474953
-294362.169675,15,13.500103
-294303.038977,15,13.532253
-79455.014261,15,13.569252
-298478.391663,15,13.592254
-292503.177141,15,13.611387
-283276.999455,15,13.630253
-125672.940339,15,13.648251
-293995.631952,15,13.664253
-280465.609751,15,13.689251
-292643.578166,15,13.710253
-295179.682022,15,13.729501
-290254.733332,15,13.745631
-289112.80691,15,13.76563
