#{"t_start": 1740660101.043639, "env_id": "None"}
r,l,t
-5474.0625,15,2.254568
-4100.6625,15,2.261567
-3413.9625,15,2.268914
-3413.9625,15,2.275912
-5376.9475,15,2.28291
-6575.8325,15,2.289904
-4690.2475,15,2.297192
-4100.6625,15,2.3042
-4100.6625,15,2.3112
-4100.6625,15,2.31846
-3413.9625,15,2.324461
-3413.9625,15,2.33146
-3413.9625,15,2.33846
-5376.9475,15,2.345459
-3413.9625,15,2.352459
-4100.6625,15,2.35946
-3413.9625,15,2.366762
-3413.9625,15,2.373453
-4100.6625,15,2.380461
-4100.6625,15,2.38746
-4100.6625,15,2.394453
-4100.6625,15,2.40167
-3413.9625,15,2.408527
-3413.9625,15,2.415526
-4100.6625,15,2.422527
-4612.8475,15,2.429527
-4100.6625,15,2.436527
-4100.6625,15,2.443527
-4100.6625,15,2.450526
-3413.9625,15,2.45752
-4690.2475,15,2.464526
-5376.9475,15,2.471526
-4100.6625,15,2.478527
-3413.9625,15,2.485527
-4787.3625,15,2.492527
-4100.6625,15,2.499527
-4100.6625,15,2.506519
-3413.9625,15,2.513526
-4100.6625,15,2.519528
-3413.9625,15,2.526527
-5376.9475,15,2.533527
-4100.6625,15,2.54052
-3413.9625,15,2.547528
-4690.2475,15,2.554527
-3413.9625,15,2.561526
-4100.6625,15,2.568527
-3413.9625,15,2.575527
-3413.9625,15,2.582526
-3413.9625,15,2.589528
-4100.6625,15,2.596855
-3413.9625,15,2.603526
-4100.6625,15,2.610527
-4100.6625,15,2.617528
-4787.3625,15,2.624527
-3413.9625,15,2.631527
-4100.6625,15,2.638527
-4100.6625,15,2.645531
-4787.3625,15,2.651846
-4100.6625,15,2.658847
-4100.6625,15,2.666131
-4100.6625,15,2.673132
-4690.2475,15,2.680139
-4100.6625,15,2.687139
-4100.6625,15,2.694139
-4100.6625,15,2.701139
-5376.9475,15,2.70814
-3413.9625,15,2.715139
-4787.3625,15,2.722139
-3413.9625,15,2.72914
-3413.9625,15,2.736139
-4690.2475,15,2.743139
-3413.9625,15,2.750139
-4100.6625,15,2.757388
-3413.9625,15,2.764139
-3413.9625,15,2.771139
-4100.6625,15,2.778139
-4690.2475,15,2.785139
-3413.9625,15,2.792139
-4100.6625,15,2.79914
-5722.6325,15,2.80614
-3413.9625,15,2.813139
-3413.9625,15,2.82039
-3413.9625,15,2.826391
-3413.9625,15,2.833389
-3413.9625,15,2.84039
-3413.9625,15,2.84776
-4690.2475,15,2.854759
-4100.6625,15,2.862082
-3413.9625,15,2.86837
-4100.6625,15,2.875369
-3413.9625,15,2.88237
-4100.6625,15,2.889366
-4690.2475,15,2.896657
-5966.5325,15,2.903665
-3413.9625,15,2.910878
-3413.9625,15,2.917166
-3413.9625,15,2.924161
-4100.6625,15,2.931168
-6063.6475,15,2.938166
-3413.9625,15,2.945166
-5474.0625,15,2.952474
-3413.9625,15,2.959679
-3413.9625,15,2.966946
-3413.9625,15,2.973955
-4100.6625,15,2.980954
-4690.2475,15,2.987954
-4690.2475,15,2.994954
-5986.2475,15,3.00124
-3413.9625,15,3.008514
-4787.3625,15,3.015514
-3413.9625,15,3.022817
-4690.2475,15,3.029816
-3413.9625,15,3.036817
-4100.6625,15,3.043816
-3413.9625,15,3.050117
-4100.6625,15,3.057364
-3413.9625,15,3.064363
-4690.2475,15,3.071641
-4787.3625,15,3.078651
-4446.3475,15,3.085649
-5474.0625,15,3.092648
-3413.9625,15,3.098927
-3413.9625,15,3.106165
-4690.2475,15,3.113172
-3413.9625,15,3.120481
